Date,Open,High,Low,Close,Adj Close,Volume
12-09-2018,1300,1318,1300,1302.5,1271.410522,1821317
13-09-2018,1302.5,1331.5,1295,1311,1279.707642,1469288
14-09-2018,1314.5,1318.5,1297,1314,1282.635986,1717047
17-09-2018,1311,1316,1297,1304.5,1273.362793,1861885
18-09-2018,1292.5,1315.5,1290,1305,1273.85083,1803781
19-09-2018,1312.5,1341,1307,1319,1287.516602,1485794
20-09-2018,1317.5,1355,1316,1326,1294.349609,1775809
21-09-2018,1329.5,1362,1329,1362,1329.490234,2024572
24-09-2018,1350,1351,1329,1347.5,1315.336426,1018293
25-09-2018,1347.5,1361.5,1347.5,1351.5,1319.240967,3935004
26-09-2018,1349,1363.5,1345,1363,1330.466431,1055591
27-09-2018,1358,1386.5,1350,1386.5,1353.405518,1364864
28-09-2018,1383,1431,1381.5,1429.5,1395.37915,2436104
01-10-2018,1426,1435,1407,1429,1394.891113,1719844
02-10-2018,1423.5,1446,1416.5,1433.5,1399.283691,2482483
03-10-2018,1433.5,1451.5,1433.5,1438,1403.67627,1546564
04-10-2018,1436,1444.5,1428.5,1430,1395.867188,1375884
05-10-2018,1427,1430.5,1381,1383,1349.989014,1963517
08-10-2018,1390,1390.5,1356,1370,1337.299316,2257387
09-10-2018,1368,1395.5,1359,1380.5,1347.548706,1718505
10-10-2018,1370,1390.5,1350,1350,1317.776733,1474336
11-10-2018,1332.5,1362,1321.5,1345.5,1313.384155,2153953
12-10-2018,1353,1373.5,1342.5,1361.5,1329.002197,2525518
15-10-2018,1374,1408,1366.5,1379.5,1346.572632,1820671
16-10-2018,1379.5,1414.5,1375,1399.5,1366.095215,1453885
17-10-2018,1418,1455.5,1412,1419.5,1385.617798,11753824
18-10-2018,1415,1432.5,1390.5,1390.5,1357.310059,2622914
19-10-2018,1380.5,1394.5,1342,1342,1309.967651,1352263
22-10-2018,1341.5,1355,1313,1341,1308.991577,949429
23-10-2018,1325,1333.5,1301.5,1316.5,1285.076294,2417234
24-10-2018,1321.5,1326.5,1267,1268,1237.734009,2357952
25-10-2018,1242,1274,1228.5,1245.5,1215.770996,5051914
26-10-2018,1223.5,1228.5,1185.5,1198.5,1169.892944,2590010
29-10-2018,1207.5,1229.5,1186,1190,1161.595825,1657670
30-10-2018,1188,1206.5,1171,1190,1161.595825,1601946
31-10-2018,1212,1230.5,1209.5,1218.5,1189.415527,1823698
01-11-2018,1194.5,1247.5,1189,1234.5,1205.033569,2819243
02-11-2018,1247.5,1279,1230,1231.5,1202.105225,1478393
05-11-2018,1236.5,1315,1236.5,1256,1226.020386,2267516
06-11-2018,1256.5,1277.5,1227.5,1241,1211.378418,2290212
07-11-2018,1235,1260,1229.5,1255.5,1225.532349,1969970
08-11-2018,1252.5,1300.5,1252.5,1294,1263.113403,2237545
09-11-2018,1288,1307.5,1273.5,1284.5,1253.840088,1675650
12-11-2018,1294.5,1300.5,1250.5,1254,1224.068115,1318588
13-11-2018,1262,1307,1260,1307,1275.803101,1793508
14-11-2018,1330.5,1432,1325,1389.5,1356.333862,3170543
15-11-2018,1395,1421,1378.5,1410.5,1376.832642,2214231
16-11-2018,1425.5,1473,1425.5,1463.5,1428.567627,2310579
19-11-2018,1464,1525,1464,1471,1435.88855,2195028
20-11-2018,1460,1490.5,1417,1449.5,1414.901733,2550267
21-11-2018,1445,1491,1416,1491,1455.411133,1277579
22-11-2018,1482.5,1508,1463,1506,1470.053101,1071362
23-11-2018,1495.5,1531.5,1487.5,1527.5,1491.039917,1006608
26-11-2018,1547.5,1569.5,1534,1547,1510.074463,1637526
27-11-2018,1530,1555.5,1518.5,1534,1497.384766,1979058
28-11-2018,1536.5,1562,1530.5,1550,1513.00293,1575247
29-11-2018,1568,1593.5,1537,1573,1535.453857,1844397
30-11-2018,1563.5,1580.5,1532.5,1539,1502.265503,2061688
03-12-2018,1568,1585,1552,1552,1514.9552,1882270
04-12-2018,1556.5,1570,1542,1542,1505.193848,1254074
05-12-2018,1519,1530,1480.5,1524.5,1488.111572,952217
06-12-2018,1517,1517,1472,1479.5,1444.185669,1561979
07-12-2018,1488,1510,1465.5,1465.5,1430.519897,1498625
